key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,31,31,9,1,10000,0,151000,11,2.5352
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,32,32,57,1,5000,0,55000,151,3.1543
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,33,33,15,1,10000,0,20000,59,4.2931
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,34,34,86,1,25000,0,55000,151,2.2564
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,35,35,12,1,10000,0,60000,29,3.9507
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,36,36,38,1,5000,0,104000,10,2.6897
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,37,37,26,1,10000,0,39000,150,2.6026
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,38,38,75,1,25000,0,35000,60,5.451
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,39,39,2,1,10000,0,61000,4,4.1339
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,40,40,14,1,10000,0,150000,30,2.3684
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,41,41,79,1,25000,0,150000,61,7.3514
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,42,42,0,1,10000,0,20000,5,4.885
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,43,43,31,1,5000,0,35000,6,4.5845
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,44,44,66,1,25000,0,55000,11,5.8377
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,45,45,65,1,25000,0,35000,11,2.807
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,46,46,28,1,10000,0,109000,149,3.2515
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,47,47,80,1,25000,0,35000,90,4.4096
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,48,48,62,1,25000,0,75000,5,3.4849
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,49,49,4,1,10000,0,150000,5,2.3706
